DATAFLOW,LAST UPDATE,freq,unit,n_portion,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,AT,2019,5.6,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,BE,2019,15.1,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,BG,2019,5.0,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,CY,2019,7.9,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,CZ,2019,7.7,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,DE,2019,10.9,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,DK,2019,22.9,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,EE,2019,13.3,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,EL,2019,12.4,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,ES,2019,10.9,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,FI,2019,13.5,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,FR,2019,19.5,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,HR,2019,9.8,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,HU,2019,8.2,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,IE,2019,32.9,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,IT,2019,10.5,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,LT,2019,15.9,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,LU,2019,13.6,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,LV,2019,7.2,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,MT,2019,11.6,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,NL,2019,29.5,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,PL,2019,8.6,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,PT,2019,14.4,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,RO,2019,2.4,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,SE,2019,7.6,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,SI,2019,5.3,
ESTAT:HLTH_EHIS_FV3E(1.0),04/04/22 23:00:00,A,PC,GE5,TOTAL,T,TOTAL,SK,2019,8.5,
