DATAFLOW,LAST UPDATE,freq,unit,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,AT,2019,19.3,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,BE,2019,15.5,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,BG,2019,7.7,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,CY,2019,10.2,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,CZ,2019,13.6,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,DE,2019,14.9,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,DK,2019,31.1,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,EE,2019,24.8,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,EL,2019,10.6,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,ES,2019,16.4,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,FI,2019,33.1,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,FR,2019,25.4,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,HR,2019,9.4,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,HU,2019,11.4,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,IE,2019,19.0,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,IT,2019,13.5,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,LT,2019,13.8,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,LU,2019,24.7,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,LV,2019,13.0,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,MT,2019,16.5,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,NL,2019,27.0,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,PL,2019,10.6,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,PT,2019,16.5,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,RO,2019,7.0,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,SE,2019,38.6,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,SI,2019,17.1,
ESTAT:TRNG_LFS_02(1.0),17/02/22 23:00:00,A,PC,TOTAL,T,Y18-64,SK,2019,9.9,
