DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,AT,2019,2.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,BE,2019,4.4,b
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,BG,2019,20.9,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,CY,2019,9.1,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,CZ,2019,2.7,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,DE,2019,2.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,DK,2019,2.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,EE,2019,3.3,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,EL,2019,16.2,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,ES,2019,4.7,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,FI,2019,2.4,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,FR,2019,4.7,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,HR,2019,7.2,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,HU,2019,8.7,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,IE,2019,5.4,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,IT,2019,7.4,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,LT,2019,9.4,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,LU,2019,1.3,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,LV,2019,7.8,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,MT,2019,3.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,NL,2019,2.5,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,PL,2019,3.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,PT,2019,5.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,RO,2019,14.5,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,SE,2019,1.8,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,SI,2019,2.6,
ESTAT:ILC_MDDD11(1.0),11/04/22 11:00:00,A,PC,TOTAL,T,SK,2019,7.9,
